section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,68,1763649035092058748,1763649035167182748,75,659.048,459.243,-9.005455395854398,8.444618174734535
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,69,1763649035267182748,1763649035352306748,85,1133.703,485.317,21.770733605399798,6.606147600135507
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,70,1763649035442431748,1763649035617555748,175,1155.125,459.99,23.201728264232578,8.16772283720685
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,71,1763649035692555748,1763649035967929748,275,1025.471,427.843,14.881218135170696,10.37042571797646
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,72,1763649036012929748,1763649036463302748,450,1060.916,457.247,17.125510205479504,8.46041002838967
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,73,1763649036728551748,1763649036978799748,250,516.199,408.204,-18.387270966897077,11.548243066345867
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,74,1763649037008799748,1763649037118924748,110,689.142,410.629,-7.089140131307522,11.587510790138781
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,75,1763649037143924748,1763649037264048748,120,624.418,441.996,-11.277156298301232,9.526427576177937
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,76,1763649037419173748,1763649037654430748,235,1012.205,306.801,14.321471162746505,18.082577162750784
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,77,1763649037769546748,1763649037889673748,120,1107.217,352.291,20.42631973291995,15.009966897787816
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,78,1763649037929670748,1763649038154919748,225,1120.35,386.045,21.161522090991784,12.86249330642549
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,79,1763649038295044748,1763649038570295748,275,723.615,270.011,-4.972784122363037,20.62719143235415
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,80,1763649038680417748,1763649038930666748,250,965.476,284.264,11.275165880452663,19.598544470586674
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,81,1763649038980666748,1763649039190915748,210,781.758,416.356,-1.020919843897714,11.25189898996413
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,82,1763649039205915748,1763649039285915748,80,802.327,371.649,0.3277824850025168,14.1308430353238
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,83,1763649039331039748,1763649039421041748,90,747.16,428.498,-3.2812050436064792,10.46333675279944
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,84,1763649039531164748,1763649039681288748,150,1004.973,287.292,13.905925961747098,19.334373015302024
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,85,1763649039841412748,1763649040016662748,175,760.828,325.54,-2.4307176850064427,17.088459293249475
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,86,1763649040061661748,1763649040196786748,135,778.185,345.076,-1.2706837567607625,15.837963310836926
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,87,1763649040457035748,1763649040532160748,75,833.171,462.458,2.3337329487921767,8.275227772319527
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,88,1763649040672284748,1763649040952533748,280,781.965,365.56,-1.0159664272206448,14.521918734759886
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,89,1763649040972533748,1763649041207782748,235,769.01,348.633,-1.8772513452793425,15.607805647660554
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,90,1763649041347906748,1763649041628155748,280,937.713,310.329,9.357980937612691,17.977612338826564
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,91,1763649041683155748,1763649041773279748,90,914.435,279.8,7.865342543421976,19.955688892403828
