section id,recording id,saccade id,start timestamp [ns],end timestamp [ns],duration [ms],amplitude [px],amplitude [deg],mean velocity [px/s],peak velocity [px/s]
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,43,1763649028465976748,1763649028505961748,40,149.44139099121094,9.599678993225098,3326.806884765625,5471.88720703125
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,44,1763649028736210748,1763649028776210748,40,88.3526611328125,5.675787448883057,2113.960693359375,2885.36279296875
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,45,1763649028956342748,1763649028996334748,40,95.80577850341797,6.135385036468506,2434.55224609375,3489.974853515625
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,46,1763649029091462748,1763649029221583748,130,125.99060821533203,8.140750885009766,2400.064453125,5036.85302734375
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,47,1763649029401837748,1763649029421833748,20,25.63686752319336,1.658692717552185,1231.8724365234375,1423.3240966796875
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,48,1763649029526832748,1763649029571957748,45,166.00477600097656,10.696463584899902,3210.980224609375,5816.7958984375
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,49,1763649029767081748,1763649029817206748,50,210.53860473632812,13.474774360656738,3501.255859375,7006.2626953125
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,50,1763649030012330748,1763649030142454748,130,267.75384521484375,17.139240264892578,6583.05419921875,14993.7021484375
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,51,1763649030472703748,1763649030517828748,45,162.64889526367188,10.43658447265625,3899.611083984375,6379.53076171875
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,52,1763649030748077748,1763649030793076748,45,120.71466827392578,7.743934631347656,2499.781494140625,4242.5546875
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,53,1763649030958201748,1763649030993200748,35,67.07196044921875,4.305493354797363,2057.8681640625,2836.47998046875
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,54,1763649031168450748,1763649031223451748,55,298.86285400390625,18.998456954956055,4512.10205078125,9081.1572265625
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,55,1763649031528698748,1763649031568835748,40,118.10894775390625,7.503983974456787,3008.1875,4241.88232421875
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,56,1763649031733960748,1763649031773947748,40,171.00791931152344,10.954324722290039,4144.25439453125,5802.5595703125
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,57,1763649032074196748,1763649032109321748,35,81.56509399414062,5.247714042663574,2316.84423828125,3175.33349609375
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,58,1763649032489694748,1763649032509694748,20,20.76704216003418,1.3378785848617554,1071.545654296875,1259.2662353515625
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,59,1763649032699818748,1763649032859954748,160,67.71603393554688,4.354767322540283,2199.4130859375,5678.6748046875
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,60,1763649033115191748,1763649033160320748,45,147.6414337158203,9.47024917602539,3479.74609375,4956.302734375
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,61,1763649033350440748,1763649033400440748,50,173.0501251220703,11.082321166992188,3397.353515625,5722.37548828125
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,62,1763649033605689748,1763649033650692748,45,146.91458129882812,9.40394401550293,3086.041259765625,5322.88916015625
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,63,1763649033855938748,1763649034211186748,355,326.7010192871094,21.000314712524414,3591.797607421875,9939.8759765625
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,64,1763649034406436748,1763649034476435748,70,301.0414123535156,19.413578033447266,4229.08056640625,8030.69873046875
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,65,1763649034641692748,1763649034686684748,45,136.96548461914062,8.807286262512207,3797.567626953125,5489.68896484375
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,66,1763649034846809748,1763649034871809748,25,40.180625915527344,2.5767366886138916,1631.7628173828125,2040.32568359375
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,67,1763649035067058748,1763649035092058748,25,26.753381729125977,1.7170172929763794,1228.672607421875,1404.776611328125
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,68,1763649035167182748,1763649035267182748,100,562.460693359375,36.25163269042969,6403.85595703125,9664.142578125
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,69,1763649035352306748,1763649035442431748,90,299.84014892578125,19.227224349975586,6369.72900390625,8304.3916015625
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,70,1763649035617555748,1763649035692555748,75,83.88499450683594,5.409745693206787,3183.494384765625,5145.2294921875
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,71,1763649035967929748,1763649036012929748,45,117.30946350097656,7.5412397384643555,2302.984130859375,4275.72998046875
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,72,1763649036463302748,1763649036728551748,265,822.7243041992188,53.04545593261719,8213.1767578125,17435.443359375
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,73,1763649036978799748,1763649037008799748,30,69.92948913574219,4.4883294105529785,2302.677490234375,3128.082763671875
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,74,1763649037118924748,1763649037143924748,25,39.91438674926758,2.5585696697235107,1500.0303955078125,1970.607177734375
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,75,1763649037264048748,1763649037419173748,155,786.1678466796875,50.477657318115234,8205.576171875,11452.34375
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,76,1763649037654430748,1763649037769546748,115,575.34521484375,36.84119415283203,8509.962890625,13837.9775390625
